HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShots,AwayShots,HomeShotOnTarget,AwayShotOnTarget,HomeCorners,AwayCorners
QPR,Liverpool,3,2,10,18,5.0,11.0,7,17
Man City,Chelsea,2,1,20,6,10.0,5.0,11,4
Tottenham,Stoke,1,1,24,8,18.0,2.0,13,1
Everton,Arsenal,0,1,7,12,2.0,8.0,4,6
Blackburn,Sunderland,2,0,16,2,9.0,0.0,7,8
Wolves,Man United,0,5,7,22,3.0,18.0,4,7
Newcastle,Norwich,1,0,15,12,10.0,5.0,4,5
Wigan,West Brom,1,1,20,8,6.0,2.0,13,5
Fulham,Swansea,0,3,14,10,7.0,7.0,6,2
Liverpool,Everton,3,0,15,5,10.0,3.0,4,4
Arsenal,Newcastle,2,1,21,5,13.0,3.0,6,3
Norwich,Wigan,1,1,13,18,6.0,9.0,3,5
Man United,West Brom,2,0,20,6,9.0,3.0,8,5
Swansea,Man City,1,0,8,18,5.0,13.0,7,9
Chelsea,Stoke,1,0,21,8,11.0,3.0,14,1
Sunderland,Liverpool,1,0,6,9,1.0,5.0,3,2
Wolves,Blackburn,0,2,14,12,7.0,8.0,3,4
Everton,Tottenham,1,0,9,21,5.0,9.0,0,8
Bolton,QPR,2,1,11,17,7.0,11.0,10,6
Aston Villa,Fulham,1,0,19,5,8.0,1.0,10,4
Tottenham,Man United,1,3,18,6,9.0,5.0,7,3
Fulham,Wolves,5,0,25,8,19.0,3.0,7,7
Newcastle,Sunderland,1,1,24,7,12.0,6.0,19,4
Liverpool,Arsenal,1,2,12,10,4.0,7.0,12,0
QPR,Everton,1,1,22,8,10.0,5.0,7,7
Wigan,Swansea,0,2,14,12,8.0,8.0,8,4
Man City,Bolton,2,0,23,8,10.0,5.0,7,4
West Brom,Chelsea,1,0,19,13,11.0,6.0,14,5
Blackburn,Aston Villa,1,1,15,17,9.0,12.0,4,8
Stoke,Norwich,1,0,11,7,7.0,5.0,8,2
Arsenal,Tottenham,5,2,21,8,13.0,4.0,7,5
Stoke,Swansea,2,0,9,11,6.0,6.0,8,4
Norwich,Man United,1,2,16,11,7.0,9.0,4,4
Newcastle,Wolves,2,2,13,7,8.0,6.0,3,3
Wigan,Aston Villa,0,0,14,10,6.0,3.0,14,7
QPR,Fulham,0,1,17,7,8.0,3.0,6,5
Chelsea,Bolton,3,0,25,8,16.0,1.0,14,7
West Brom,Sunderland,4,0,18,10,13.0,4.0,7,0
Man City,Blackburn,3,0,20,2,13.0,2.0,10,3
Aston Villa,Man City,0,1,9,17,5.0,10.0,5,8
Wolves,West Brom,1,5,10,26,8.0,16.0,12,8
Swansea,Norwich,2,3,16,18,9.0,11.0,6,8
Man United,Liverpool,2,1,11,9,6.0,6.0,4,3
Sunderland,Arsenal,1,2,8,10,5.0,8.0,7,3
Blackburn,QPR,3,2,7,25,5.0,13.0,5,6
Bolton,Wigan,1,2,13,10,8.0,6.0,7,7
Everton,Chelsea,2,0,10,8,7.0,7.0,2,4
Fulham,Stoke,2,1,11,12,4.0,4.0,5,4
Tottenham,Newcastle,5,0,18,7,9.0,3.0,4,3
Liverpool,Tottenham,0,0,15,9,10.0,6.0,7,4
Chelsea,Man United,3,3,19,14,10.0,10.0,6,6
Newcastle,Aston Villa,2,1,16,13,8.0,8.0,4,4
QPR,Wolves,1,2,13,14,8.0,6.0,7,3
Arsenal,Blackburn,7,1,20,3,11.0,3.0,11,1
Wigan,Everton,1,1,2,8,1.0,4.0,4,3
West Brom,Swansea,1,2,18,15,11.0,8.0,8,7
Man City,Fulham,3,0,16,11,10.0,8.0,4,6
Norwich,Bolton,2,0,22,10,9.0,6.0,4,7
Stoke,Sunderland,0,1,9,4,6.0,2.0,5,5
Blackburn,Newcastle,0,2,23,9,12.0,5.0,14,2
Bolton,Arsenal,0,0,14,16,8.0,7.0,6,6
Aston Villa,QPR,2,2,23,3,15.0,3.0,9,3
Fulham,West Brom,1,1,13,15,6.0,11.0,8,7
Sunderland,Norwich,3,0,10,12,6.0,4.0,3,6
Everton,Man City,1,0,9,17,4.0,11.0,3,9
Wolves,Liverpool,0,3,5,23,1.0,14.0,5,4
Swansea,Chelsea,1,1,7,20,5.0,10.0,1,11
Tottenham,Wigan,3,1,20,10,13.0,6.0,5,0
Man United,Stoke,2,0,11,8,7.0,3.0,9,2
Man City,Tottenham,3,2,13,12,7.0,7.0,9,4
Arsenal,Man United,1,2,12,9,6.0,5.0,0,5
Everton,Blackburn,1,1,15,14,8.0,8.0,5,8
Bolton,Liverpool,3,1,15,11,8.0,8.0,5,5
Sunderland,Swansea,2,0,7,11,2.0,4.0,2,4
Norwich,Chelsea,0,0,5,19,3.0,9.0,1,11
QPR,Wigan,3,1,16,9,8.0,4.0,7,1
Fulham,Newcastle,5,2,10,15,7.0,9.0,2,6
Wolves,Aston Villa,2,3,13,11,9.0,5.0,12,3
Stoke,West Brom,1,2,10,15,3.0,6.0,5,1
Wigan,Man City,0,1,7,12,4.0,8.0,4,5
Newcastle,QPR,1,0,9,15,4.0,9.0,3,2
Swansea,Arsenal,3,2,9,14,5.0,9.0,9,2
Tottenham,Wolves,1,1,22,5,10.0,3.0,8,1
Man United,Bolton,3,0,19,11,9.0,5.0,11,3
Chelsea,Sunderland,1,0,21,9,10.0,4.0,8,2
Liverpool,Stoke,0,0,13,3,5.0,1.0,11,1
West Brom,Norwich,1,2,16,7,8.0,4.0,10,5
Blackburn,Fulham,3,1,15,17,11.0,7.0,0,9
Aston Villa,Everton,1,1,17,7,11.0,4.0,9,3
Tottenham,Everton,2,0,14,11,7.0,4.0,6,4
Newcastle,Man United,3,0,10,6,6.0,6.0,4,4
Everton,Bolton,1,2,10,12,4.0,7.0,5,10
Man City,Liverpool,3,0,10,18,8.0,10.0,5,6
Wigan,Sunderland,1,4,20,10,10.0,9.0,9,6
Tottenham,West Brom,1,0,20,8,14.0,2.0,14,7
Aston Villa,Swansea,0,2,10,8,2.0,4.0,14,0
Wolves,Chelsea,1,2,9,15,5.0,10.0,0,5
Fulham,Arsenal,2,1,21,17,8.0,10.0,4,3
Blackburn,Stoke,1,2,14,8,7.0,3.0,8,3
QPR,Norwich,1,2,9,13,6.0,6.0,2,5
Sunderland,Man City,1,0,8,25,5.0,11.0,1,10
West Brom,Everton,0,1,10,13,2.0,8.0,2,7
Chelsea,Aston Villa,1,3,16,12,5.0,9.0,9,2
Bolton,Wolves,1,1,13,8,9.0,5.0,3,6
Man United,Blackburn,2,3,26,10,13.0,5.0,17,3
Arsenal,QPR,1,0,16,6,7.0,3.0,12,4
Swansea,Tottenham,1,1,14,12,8.0,7.0,10,5
Stoke,Wigan,2,2,12,10,3.0,6.0,8,5
Norwich,Fulham,1,1,18,11,9.0,6.0,4,3
Liverpool,Newcastle,3,1,15,5,7.0,2.0,7,0
Arsenal,Wolves,1,1,23,6,17.0,4.0,13,3
Norwich,Tottenham,0,2,8,19,4.0,8.0,3,10
Swansea,QPR,1,1,7,12,4.0,7.0,5,11
Liverpool,Blackburn,1,1,28,5,13.0,2.0,9,2
Sunderland,Everton,1,1,12,9,8.0,3.0,5,6
Stoke,Aston Villa,0,0,7,10,2.0,4.0,7,7
West Brom,Man City,0,0,7,18,3.0,9.0,5,9
Bolton,Newcastle,0,2,4,12,3.0,7.0,4,4
Man United,Wigan,5,0,17,9,9.0,5.0,10,2
Chelsea,Fulham,1,1,24,9,15.0,6.0,9,3
Tottenham,Chelsea,1,1,16,20,10.0,10.0,7,4
Everton,Swansea,1,0,13,4,6.0,4.0,9,2
Fulham,Man United,0,5,13,14,8.0,12.0,3,10
Wigan,Liverpool,0,0,15,18,10.0,10.0,7,14
Newcastle,West Brom,2,3,21,14,11.0,8.0,10,1
Man City,Stoke,3,0,20,2,16.0,0.0,5,2
Aston Villa,Arsenal,1,2,10,8,4.0,6.0,7,15
QPR,Sunderland,2,3,17,17,9.0,13.0,8,11
Wolves,Norwich,2,2,18,18,9.0,14.0,4,6
Blackburn,Bolton,1,2,17,8,7.0,5.0,5,9
Man City,Arsenal,1,0,15,12,9.0,8.0,4,6
QPR,Man United,0,2,11,19,3.0,12.0,5,10
Tottenham,Sunderland,1,0,16,8,12.0,4.0,6,0
Aston Villa,Liverpool,0,2,16,19,8.0,12.0,4,10
Newcastle,Swansea,0,0,17,3,6.0,0.0,9,1
Blackburn,West Brom,1,2,17,13,14.0,6.0,3,7
Fulham,Bolton,2,0,16,14,9.0,6.0,8,4
Everton,Norwich,1,1,28,7,15.0,1.0,13,0
Wigan,Chelsea,1,1,15,10,7.0,5.0,7,5
Wolves,Stoke,1,2,10,8,5.0,4.0,7,5
Chelsea,Man City,2,1,13,7,7.0,4.0,5,1
Sunderland,Blackburn,2,1,22,3,12.0,2.0,9,0
Stoke,Tottenham,2,1,10,15,7.0,12.0,7,12
Liverpool,QPR,1,0,21,6,15.0,2.0,17,5
Man United,Wolves,4,1,22,11,18.0,8.0,8,2
Norwich,Newcastle,4,2,13,11,11.0,8.0,7,2
Arsenal,Everton,1,0,12,7,7.0,1.0,7,4
Bolton,Aston Villa,1,2,17,17,12.0,11.0,6,10
Swansea,Fulham,2,0,16,12,8.0,7.0,6,5
West Brom,Wigan,1,2,13,7,8.0,4.0,13,2
Fulham,Liverpool,1,0,19,17,13.0,9.0,2,10
Wolves,Sunderland,2,1,15,18,10.0,12.0,8,3
Everton,Stoke,0,1,11,7,4.0,4.0,10,6
Aston Villa,Man United,0,1,7,11,3.0,5.0,5,5
Tottenham,Bolton,3,0,25,13,16.0,9.0,7,6
Man City,Norwich,5,1,21,5,16.0,2.0,12,4
Wigan,Arsenal,0,4,7,16,4.0,10.0,4,5
QPR,West Brom,1,1,14,15,4.0,10.0,3,5
Blackburn,Swansea,4,2,14,10,9.0,5.0,3,4
Newcastle,Chelsea,0,3,16,21,9.0,13.0,6,5
Liverpool,Man City,1,1,17,7,9.0,3.0,8,5
Swansea,Aston Villa,0,0,6,9,2.0,4.0,4,6
Chelsea,Wolves,3,0,17,7,11.0,2.0,9,2
Norwich,QPR,2,1,15,13,8.0,4.0,6,4
Bolton,Everton,0,2,8,17,7.0,14.0,2,4
West Brom,Tottenham,1,3,9,23,5.0,14.0,1,10
Sunderland,Wigan,1,2,17,7,11.0,4.0,3,2
Stoke,Blackburn,3,1,8,16,5.0,12.0,2,6
Arsenal,Fulham,1,1,20,10,12.0,6.0,13,4
Man United,Newcastle,1,1,23,8,13.0,6.0,11,3
Tottenham,Aston Villa,2,0,20,5,9.0,1.0,11,3
Chelsea,Liverpool,1,2,18,9,5.0,3.0,6,5
Swansea,Man United,0,1,9,13,6.0,7.0,6,2
Norwich,Arsenal,1,2,7,20,4.0,14.0,1,6
Everton,Wolves,2,1,13,4,9.0,1.0,9,1
Sunderland,Fulham,0,0,13,13,8.0,9.0,6,7
Man City,Newcastle,3,1,12,10,9.0,7.0,4,5
West Brom,Bolton,2,1,16,8,9.0,6.0,7,5
Stoke,QPR,2,3,17,9,7.0,8.0,9,5
Wigan,Blackburn,3,3,21,6,11.0,2.0,7,3
Wolves,Wigan,3,1,13,13,12.0,7.0,5,6
Bolton,Stoke,5,0,20,9,16.0,6.0,12,4
Fulham,Tottenham,1,3,26,8,20.0,8.0,11,1
Aston Villa,Norwich,3,2,12,9,6.0,7.0,6,6
Man United,Sunderland,1,0,15,9,9.0,3.0,6,2
Blackburn,Chelsea,0,1,13,12,8.0,8.0,5,8
Liverpool,Swansea,0,0,18,9,10.0,3.0,11,4
QPR,Man City,2,3,18,16,9.0,8.0,3,1
Newcastle,Everton,2,1,10,14,6.0,6.0,5,3
Arsenal,West Brom,3,0,12,9,7.0,4.0,4,1
Stoke,Newcastle,1,3,10,6,4.0,2.0,8,2
Tottenham,QPR,3,1,22,12,13.0,8.0,4,8
Norwich,Blackburn,3,3,13,12,6.0,7.0,6,2
Chelsea,Arsenal,3,5,12,13,10.0,8.0,3,2
Swansea,Bolton,3,1,20,8,12.0,3.0,10,2
Everton,Man United,0,1,18,7,11.0,6.0,4,1
Sunderland,Aston Villa,2,2,13,10,8.0,5.0,5,6
Man City,Wolves,3,1,18,9,9.0,2.0,5,4
West Brom,Liverpool,0,2,10,17,6.0,7.0,3,10
Wigan,Fulham,0,2,18,7,9.0,5.0,9,0
Man United,Man City,1,6,12,19,8.0,12.0,7,4
Arsenal,Stoke,3,1,9,5,5.0,2.0,10,1
Blackburn,Tottenham,1,2,19,9,8.0,7.0,8,5
QPR,Chelsea,1,0,8,14,3.0,7.0,0,6
Fulham,Everton,1,3,15,11,8.0,7.0,5,1
Newcastle,Wigan,1,0,13,12,10.0,5.0,7,3
Wolves,Swansea,2,2,20,16,13.0,14.0,8,13
Aston Villa,West Brom,1,2,3,8,0.0,5.0,3,8
Liverpool,Norwich,1,1,25,12,15.0,10.0,10,3
Bolton,Sunderland,0,2,15,18,8.0,10.0,2,11
Arsenal,Sunderland,2,1,20,8,11.0,4.0,9,2
West Brom,Wolves,2,0,17,13,11.0,10.0,2,11
Newcastle,Tottenham,2,2,12,11,7.0,8.0,5,2
Chelsea,Everton,3,1,7,9,5.0,5.0,2,2
Man City,Aston Villa,4,1,15,8,10.0,6.0,5,1
Norwich,Swansea,3,1,15,12,8.0,4.0,4,4
Wigan,Bolton,1,3,13,14,9.0,11.0,5,4
Liverpool,Man United,1,1,14,10,8.0,3.0,8,3
Stoke,Fulham,2,0,14,4,6.0,1.0,5,2
QPR,Blackburn,1,1,12,10,6.0,9.0,5,7
Bolton,Chelsea,1,5,14,21,10.0,14.0,4,5
Fulham,QPR,6,0,19,17,13.0,10.0,4,4
Tottenham,Arsenal,2,1,16,13,8.0,7.0,9,7
Swansea,Stoke,2,0,9,11,5.0,6.0,6,5
Wolves,Newcastle,1,2,25,10,12.0,6.0,10,5
Everton,Liverpool,0,2,12,15,4.0,9.0,5,9
Blackburn,Man City,0,4,5,19,4.0,12.0,4,5
Sunderland,West Brom,2,2,12,7,7.0,3.0,7,4
Aston Villa,Wigan,2,0,16,14,10.0,9.0,5,10
Man United,Norwich,2,0,17,13,9.0,6.0,10,3
Norwich,Sunderland,2,1,11,12,8.0,6.0,7,4
QPR,Aston Villa,1,1,17,8,9.0,4.0,11,8
Man City,Everton,2,0,18,7,8.0,3.0,7,5
West Brom,Fulham,0,0,8,18,5.0,9.0,1,1
Wigan,Tottenham,1,2,5,14,4.0,7.0,1,9
Newcastle,Blackburn,3,1,19,4,8.0,1.0,4,2
Liverpool,Wolves,2,1,14,11,6.0,6.0,7,2
Chelsea,Swansea,4,1,15,5,7.0,4.0,1,6
Stoke,Man United,1,1,14,13,8.0,9.0,8,8
Arsenal,Bolton,3,0,23,3,14.0,3.0,9,2
Tottenham,Liverpool,4,0,24,5,16.0,2.0,4,1
Sunderland,Stoke,4,0,8,9,7.0,5.0,6,5
Fulham,Man City,2,2,14,18,11.0,11.0,6,9
Man United,Chelsea,3,1,12,20,7.0,9.0,4,10
Blackburn,Arsenal,4,3,10,24,5.0,16.0,2,13
Wolves,QPR,0,3,13,17,6.0,12.0,4,8
Everton,Wigan,3,1,17,9,10.0,4.0,4,9
Aston Villa,Newcastle,1,1,10,21,2.0,13.0,4,9
Swansea,West Brom,3,0,7,13,5.0,8.0,2,8
Bolton,Norwich,1,2,7,11,7.0,5.0,6,9
QPR,Newcastle,0,0,14,8,5.0,3.0,6,4
Norwich,West Brom,0,1,17,14,5.0,9.0,1,3
Fulham,Blackburn,1,1,13,10,8.0,5.0,11,2
Bolton,Man United,0,5,20,13,13.0,9.0,5,7
Arsenal,Swansea,1,0,18,10,8.0,5.0,4,5
Everton,Aston Villa,2,2,17,7,10.0,3.0,8,0
Wolves,Tottenham,0,2,10,17,6.0,11.0,4,10
Sunderland,Chelsea,1,2,14,16,7.0,8.0,4,7
Man City,Wigan,3,0,23,9,10.0,5.0,8,3
Stoke,Liverpool,1,0,3,20,1.0,11.0,2,12
Man United,Arsenal,8,2,25,19,15.0,13.0,3,5
West Brom,Stoke,0,1,16,7,7.0,1.0,5,1
Tottenham,Man City,1,5,15,22,10.0,12.0,10,5
Newcastle,Fulham,2,1,13,16,9.0,9.0,6,6
Wigan,QPR,2,0,13,19,10.0,9.0,8,7
Swansea,Sunderland,0,0,15,12,6.0,8.0,7,4
Chelsea,Norwich,3,1,16,9,8.0,6.0,8,6
Blackburn,Everton,0,1,14,9,6.0,4.0,5,4
Aston Villa,Wolves,0,0,15,3,5.0,2.0,11,8
Liverpool,Bolton,3,1,17,7,9.0,4.0,12,6
Man United,Tottenham,3,0,27,20,21.0,12.0,11,3
Norwich,Stoke,1,1,9,15,7.0,5.0,3,6
Wolves,Fulham,2,0,17,8,7.0,4.0,7,8
Bolton,Man City,2,3,6,17,4.0,9.0,7,8
Arsenal,Liverpool,0,2,10,13,6.0,8.0,9,5
Swansea,Wigan,0,0,12,10,6.0,4.0,7,7
Chelsea,West Brom,2,1,22,6,12.0,4.0,7,4
Everton,QPR,0,1,14,4,7.0,3.0,2,1
Sunderland,Newcastle,0,1,15,12,5.0,10.0,7,6
Aston Villa,Blackburn,3,1,9,10,6.0,6.0,5,4
Man City,Swansea,4,0,26,8,19.0,5.0,7,4
Stoke,Chelsea,0,0,6,20,3.0,11.0,4,6
West Brom,Man United,1,2,14,11,8.0,5.0,6,5
QPR,Bolton,0,4,13,13,7.0,7.0,3,2
Wigan,Norwich,1,1,18,13,11.0,3.0,7,3
Newcastle,Arsenal,0,0,6,9,1.0,4.0,2,5
Fulham,Aston Villa,0,0,13,7,9.0,1.0,2,3
Liverpool,Sunderland,1,1,11,15,4.0,6.0,6,3
Blackburn,Wolves,1,2,16,13,8.0,4.0,12,6
