home_team,away_team,P_home_win,P_draw,P_away_win
Leeds,Newcastle,0.3048,0.2464,0.4487
Leeds,Norwich,0.5364,0.2304,0.2331
Leeds,Southampton,0.3586,0.2348,0.4066
Leeds,Tottenham,0.1192,0.1802,0.7006
Leeds,Watford,0.4582,0.23,0.3117
Leeds,West Ham,0.2012,0.2104,0.5884
Leeds,Wolves,0.2358,0.2638,0.5004
Leicester,Arsenal,0.3412,0.2425,0.4163
Leicester,Aston Villa,0.4246,0.2371,0.3383
Leicester,Brentford,0.4899,0.2294,0.2807
Leicester,Brighton,0.4121,0.2587,0.3292
Leicester,Burnley,0.5468,0.2423,0.2109
Leicester,Chelsea,0.247,0.2174,0.5356
Leicester,Crystal Palace,0.3945,0.2469,0.3586
Leicester,Everton,0.5709,0.2126,0.2165
Leicester,Leeds,0.6038,0.2008,0.1953
Leicester,Liverpool,0.1479,0.1738,0.6782
Leicester,Man City,0.1159,0.1588,0.7253
Leicester,Man United,0.4254,0.2297,0.3449
Leicester,Newcastle,0.5063,0.2346,0.2591
Leicester,Norwich,0.7301,0.1696,0.1003
Leicester,Southampton,0.5531,0.214,0.2328
Leicester,Tottenham,0.2686,0.227,0.5045
Leicester,Watford,0.6507,0.1888,0.1605
Leicester,West Ham,0.3748,0.2317,0.3935
Leicester,Wolves,0.4464,0.2656,0.2879
Liverpool,Arsenal,0.6794,0.1856,0.135
Liverpool,Aston Villa,0.7502,0.1562,0.0936
Liverpool,Brentford,0.8013,0.133,0.0657
Liverpool,Brighton,0.7619,0.163,0.0751
Liverpool,Burnley,0.8662,0.1101,0.0237
Liverpool,Chelsea,0.5631,0.208,0.2289
Liverpool,Crystal Palace,0.7333,0.168,0.0987
Liverpool,Everton,0.8562,0.1041,0.0395
Liverpool,Leeds,0.8729,0.093,0.0338
Liverpool,Leicester,0.7259,0.1577,0.1163
Liverpool,Man City,0.3682,0.2171,0.4147
Liverpool,Man United,0.7427,0.1548,0.1024
Liverpool,Newcastle,0.8217,0.1269,0.0512
Liverpool,Norwich,0.9418,0.053,0.0048
Liverpool,Southampton,0.8417,0.1106,0.0475
Liverpool,Tottenham,0.5944,0.205,0.2005
Liverpool,Watford,0.9018,0.0766,0.0212
Liverpool,West Ham,0.6984,0.1717,0.1299
Liverpool,Wolves,0.8001,0.1499,0.05
Man City,Arsenal,0.7299,0.1683,0.1018
Man City,Aston Villa,0.7956,0.1372,0.0671
Man City,Brentford,0.8424,0.1134,0.0441
Man City,Brighton,0.8105,0.1407,0.0488
Man City,Burnley,0.905,0.0864,0.0085
Man City,Chelsea,0.6148,0.1974,0.1878
Man City,Crystal Palace,0.7815,0.1483,0.0702
Man City,Everton,0.8912,0.0849,0.0236
Man City,Leeds,0.905,0.0749,0.0198
Man City,Leicester,0.7704,0.1413,0.0882
Man City,Liverpool,0.4661,0.2141,0.3198
Man City,Man United,0.7872,0.1372,0.0755
